Condo_Name,Condo_Initial_Price,Condo_Developer,Nearby_BTS_Station,Room_Type,Room_Size,Nearby_Transits,Location
คอนโด มาเอสโตร 07 อนุสาวรีย์ (Maestro 07 Victory Monument) ,เริ่มต้น 4.5 ลบ. (ณ. วันที่ 19/6/2020),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่27.00ถึง68.37ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-80ม.)",ซอยราชวิถี 7 ถนนราชวิถี แขวงพญาไท เขตราชเทวี กรุงเทพมหานคร
คอนโด เดอะ ไลน์ ราชเทวี (The Line Ratchathewi) ,เริ่มต้น 6.99 ลบ. (ณ. วันที่ 11/2/2019),บีทีเอสแสนสิริโฮลดิ้งวัน(ในเครือแสนสิริ),คอนโดบีทีเอส แสนสิริ โฮลดิ้งวัน ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,3ห้องนอน,Penthouse",ตั้งแต่27.75ถึง119.50ตร.ม.,"ใกล้ทางด่วน,ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.)",ถนนเพชรบุรี เขตราชเทวี กทม.
คอนโด มาเอสโตร 14 สยาม-ราชเทวี (Maestro 14 Siam-Ratchathewi) ,เริ่มต้น 7.2 ลบ. (ณ. วันที่ 25/1/2021),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่26.72ถึง64.81ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-450ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-450ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี)",ซอยเพชรบุรี 12 แขวงถนนเพชรบุรี เขตราชเทวี กทม.
คอนโด คิว ชิดลม เพชรบุรี (Q Chidlom-Phetchaburi) ,เริ่มต้น 6.9 ลบ. (ณ. วันที่ 23/2/2019),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่35.00ถึง63.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีชิดลม-800ม.)",ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี จังหวัดกรุงเทพ
คอนโด ริธึ่ม รางน้ำ (Rhythm Rangnam) ,เริ่มต้น 4 ลบ. (ณ. วันที่ 3/6/2015),AP|ดิแอดเดรส,คอนโดAP ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่28.00ถึง62.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)",ซอยรางน้ำ ถนนพญาไท แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร
คอนโด ไอดีโอ คิว สยาม - ราชเทวี (Ideo Q Siam - Ratchathewi) ,เริ่มต้น 5.49 ลบ. (ณ. วันที่ 6/9/2019),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่29.50ถึง69.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.)",ถนนเพชรบุรีตัดใหม่ เขตราชเทวี กรุงเทพมหานคร
คอนโด ศุภาลัย เอลีท พญาไท (Supalai Elite @ Phayathai) ,4.4 - 18.6 ลบ. (ณ. วันที่ 28/9/2017),ศุภาลัย|ศุภาลัยเอลีท,คอนโดศุภาลัย ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่44.00ถึง144.00ตร.ม.,"ใกล้ทางด่วน(่ด่านอุรุพงษ์,ด่านอนุสาวรีย์ชัยสมรภูมิ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)",ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ
คอนโด วิช ซิกเนเจอร์ แอท มิดทาวน์ สยาม (Wish Signature @ Midtown Siam) ,เริ่มต้น 6.7 ลบ. (ณ. วันที่ 26/3/2019),สยามนุวัตร,คอนโดสยามนุวัตร ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่27.00ถึง92.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.)",ถ.เพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร
คอนโด วิช แอท สยาม (Wish @ Siam) ,เริ่มต้น 6.7 ลบ. (ณ. วันที่ 26/3/2019),สยามนุวัตร,คอนโดสยามนุวัตร ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน",ตั้งแต่27.00ถึง63.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวอ่อนสนามกีฬาแห่งชาติ-บางหว้า(คอนโดติดรถไฟฟ้าสถานีสยาม),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวอ่อนสนามกีฬาแห่งชาติ-บางหว้า(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี)",ซ.พญานาค ถ.เพชรบุรี เขตราชเทวี กรุงเทพฯ
คอนโด ไอดีโอ คิว ราชเทวี (Ideo Q Ratchathewi) ,เริ่มต้น 5.79 ลบ. (ณ. วันที่ 10/3/2016),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่34.00ถึง60.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-300ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-300ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-300ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-300ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-700ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-300ม.)",ถ.เพชรบุรี แขวงถนนพญาไท เขตราชเทวี กทม.
คอนโด มาเอสโตร 12 ราชเทวี (Maestro 12 Ratchathewi) ,เริ่มต้น 9.9 ลบ. (ณ. วันที่ 5/2/2020),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน,Duplex",ตั้งแต่26.50ถึง99.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม-2.8กม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม-2.8กม.)คอนโดติดรถไฟฟ้าสายสีเขียวอ่อนสนามกีฬาแห่งชาติ-บางหว้า(คอนโดติดรถไฟฟ้าสถานีสยาม-2.8กม.)",ซอยเพชรบุรี 12 ถนนเพชรบุรีตัดใหม่ แขวงถนนเพชรบุรี เขตราชเทวี กทม.
คอนโด เซอร์เคิล 2 (Circle 2) ,เริ่มต้น 4.4 ล้านกว่าบาท (ณ. วันที่ 30/11/2012),เฟรเกรนท์พร็อพเพอร์ตี้(ในเครือเฟรเกรนท์กรุ๊ป),คอนโดเฟรเกรนท์ พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน,Penthouse,Villa",ตั้งแต่45.85ถึง296.25ตร.ม.,"ใกล้ทางด่วน(เพชรบุรีตัดใหม่พระราม9),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีนานา)",ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร
คอนโด ไอดีโอ โมบิ พญาไท (Ideo Mobi Phayathai) ,เริ่มต้น 7.9 ลบ. (ณ. วันที่ 17/3/2014),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,Duplex,ห้องชุดร้านค้า",ตั้งแต่20.78ถึง60.43ตร.ม.,"ใกล้ทางด่วน(อนุสาวรีย์ชัยสมรภูมิประมาณ3กม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-300ม.)",ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร
คอนโด โนเบิล รีเวนต์ (Noble Revent) ,เริ่มต้น 9.2 ลบ. (ณ. วันที่ 26/5/2020),โนเบิล|โนเบิลรีเวนต์,คอนโดโนเบิล ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน",ตั้งแต่32.66ถึง66.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-200ม.)",ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ
คอนโด เอ็ม พญาไท (M Phyathai) ,เริ่มต้น 7.9 ลบ. (ณ. วันที่ 8/9/2014),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่42.00ถึง110.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)",ถนนพญาไท แขวงพญาไท เขตราชเทวี กรุงเทพฯ
คอนโด ชีวาทัย ราชปรารภ (Chewathai Ratchaprarop) ,เริ่มต้น 3.5 ลบ. (ณ. วันที่ 29/5/2013),ชีวาทัย|ชีวาทัย,คอนโดชีวาทัย ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่34.11ถึง72.10ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.)",ถนนราชปรารภ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร
คอนโด เซอร์เคิล 1 (Circle 1) ,เริ่มต้น 3.5 ล้านกว่าบาท (ณ. วันที่ 29/3/2019),เฟรเกรนท์พร็อพเพอร์ตี้(ในเครือเฟรเกรนท์กรุ๊ป),คอนโดเฟรเกรนท์ พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่32.28ถึง126.23ตร.ม.,"ใกล้ทางด่วน(ทางด่วนเพชรบุรี),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีนานา)",ถนนเพชรบุรีตัดใหม่ (ซอยเพชรบุรี 36) มักกะสัน ราชเทวี กรุงเทพฯ
คอนโด เดอะ คอมพลีท ราชปรารภ (The Complete Ratchaprarop) ,เริ่มต้น 7.7 ลบ. (ณ. วันที่ 12/9/2014),ปริญสิริ|เดอะคอมพลีท,คอนโดปริญสิริ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่35.54ถึง185.74ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-700ม.)",ถนนราชปรารภ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร
