Topic,Tag,Date_Posted,No_of_Comments
Aspire วงศ์สว่าง vs ศุภาลัย ซิตี้ รีสอร์ท จรัญ 91,"'รถไฟฟ้า MRT', 'คอนโดมิเนียม', 'รถไฟชานเมือง', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",8 พ.ย.,8
เศร้า !! เมื่อสนามฟุตบอลที่คอนโดต้องถูกรื้อทิ้งเพราะมติส่วนรวมของลูกบ้าน,"'คอนโดมิเนียมใกล้รถไฟฟ้า', 'คอนโดมิเนียม', 'ฟุตบอล'",7 พ.ย.,21
ทำไมโครงการศุภาลัยอเรียนทัล สุขุมวิท 39 ถึงขายไม่ดีครับ คนเข้าอยู่จริงๆน้อยมากทั้งๆที่ทำเลก็ไม่เลว,"'อสังหาริมทรัพย์', 'คอนโดมิเนียม', 'ถนนสุขุมวิท', 'บริษัทพัฒนาอสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",3 พ.ย.,10
ใครพักอาศัย อยู่ที่ คอนโด Elio Delray สุขุมวิท 64 รบกวนหลังไมค์ หาผมทีนะครับ^^,"'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'นิติบุคคลอาคารชุด'",3 พ.ย.,0
คอนโดในเงบ4ล้าน ห้องใหญ่หน่อย ใกล้รถไฟฟ้า ใกล้ห้าง เข้าเมืองง่าย มีทำเลไหนน่าสนใจ หรือ เพื่อนๆเล็งที่ไหนเอาไว้กันบ้าง?,"'คอนโดมิเนียม', 'กรุงเทพมหานคร', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",2 พ.ย.,6
ไปกรุงเทพ 1 เดือน เช่าที่อยู่อย่างไรดีครับ,"'กรุงเทพมหานคร', 'คนไทยในต่างแดน', 'ท่องเที่ยว', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'Airbnb'",1 พ.ย.,5
ที่จอดรถ พลัมคอนโด แจ้งวัฒนะ,"'คอนโดมิเนียม', 'รถยนต์', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ถนนแจ้งวัฒนะ', 'ที่จอดรถ'",31 ต.ค.,2
จะตัดสินใจคอนโดสร้างเสร็จแล้ว บนเงื่อนไขแบบนี้อย่างไรดีครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'คุ้มครองผู้บริโภค'",31 ต.ค.,8
อยากทราบรีวิวคอนโด Flexi สาทร-เจริญนครค่ะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'เขตสาทร', 'อสังหาริมทรัพย์'",30 ต.ค.,0
อยากทราบรีวิวจากผู้ที่อยู่จริง Atmoz รัชดา - ห้วยขวาง พอดีสนใจ แต่หารีวิวไม่ค่อยเจอ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",29 ต.ค.,0
Aspire erawan prime เก็บเสียงมั้ย,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",29 ต.ค.,1
คอนโด Rich Park@Triple Station  สถานีหัวหมาก ดีไหมครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'เขตสวนหลวง', 'ถนนพัฒนาการ'",28 ต.ค.,3
จริงหรือเปล่าครับ คอนโดยิ่งเก่าราคายิ่งตก,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'สังคมชาวพันทิป', 'อสังหาริมทรัพย์', 'ธุรกิจอสังหาริมทรัพย์'",26 ต.ค.,10
นิติคอนโดของแสนสิริโอเคไหมครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ตกแต่งคอนโดมิเนียม', 'ระบบรักษาความปลอดภัยในบ้าน', 'อสังหาริมทรัพย์'",26 ต.ค.,3
อยากให้ช่วยแนะนำคอนโด งบ 3.5ล้าน ติดรถไฟฟ้า(สถานีไหนก็ได้) ที่สเป็คห้องเป็นแบบเพดานสูง (Loft หรือ Duplex) ให้หน่อยครับ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'รถไฟฟ้า BTS', 'รถไฟฟ้า MRT'",24 ต.ค.,2
มีไหมคนที่อยู่คอนโดทิศตะวันตกแล้วไม่รู้สึกว่าห้องร้อน ?,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ตกแต่งบ้าน'",23 ต.ค.,8
คอนโด Artemis สุขุมวิท 77 ยังไม่ปิด Sale,"'คอนโดมิเนียม', 'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'สินเชื่อเพื่อที่อยู่อาศัย'",23 ต.ค.,2
เอาสายไฟฟ้าลงดิน เวลาไฟดับนี่ซ่อมนานกว่าบนดินหรือครับ,"'ไฟฟ้า', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",22 ต.ค.,2
ผ่อนดาวน์คอนโดอยู่ หากไม่ต้องการผ่อนต่อแล้ว แจ้งให้โครงการรับรู้ แล้วเราหยุดผ่อนทันทีเลยได้ไหมคะ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'การเงิน', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ธุรกิจอสังหาริมทรัพย์'",21 ต.ค.,8
ถ้าให้เลือกคอนโดระหว่าง “Regent Orcid” กับ “The green lll” ที่สุขุมวิท 101 เหมือนกันอันไหนเีกว่าคับ?,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์', 'บริษัทพัฒนาอสังหาริมทรัพย์'",20 ต.ค.,0
"ขอคำแนะนำคอนโดแนวbts,mrt เลี้ยงสัตว์ได้","'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",20 ต.ค.,3
ซื้อดีไหม ศุภาลัย ซิตี้ รีสอร์ท จรัญ91,"'คอนโดมิเนียม', 'บ้าน', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'การวางแผนการเงิน', 'สินเชื่อเพื่อที่อยู่อาศัย'",20 ต.ค.,8
One Nine Five vs. Culture Thonglhor,"'อสังหาริมทรัพย์', 'บริษัทพัฒนาอสังหาริมทรัพย์', 'คอนโดมิเนียม', 'ถนนสุขุมวิท', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",19 ต.ค.,2
ซื้อคอนโดใหม่ย่านตลาดพลู แต่ต้องเล่น Photohunt ตามหา defect ส่วนกลางใหญ่มาก แต่ค่าเน็ตก็แพงมากเช่นกัน,"'คอนโดมิเนียม', 'เครือข่ายอินเทอร์เน็ต', 'อสังหาริมทรัพย์', 'พื้นที่ส่วนกลาง', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",19 ต.ค.,6
ทำงานบางซื่อ เลือกคอนโดไหนดี ศุภาลัยบางอ้อ กับ ศุภาลัยบางกระสอ,"'รถไฟฟ้า MRT', 'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'เขตบางซื่อ'",18 ต.ค.,6
ศุภาลัย วีสต้า ห้าแยกปากเกร็ด น่าอยู่มั๊ย,'คอนโดมิเนียมใกล้รถไฟฟ้า',18 ต.ค.,1
"ถ้าต้องเลือกซื้อคอนโดระหว่างโซน บางซื่อ, ลาดพร้าว, BTSเสนานิคม หรือสุขุมวิท 101 เลือกแถวไหนดี งบ2ล้าน","'คอนโดมิเนียม', 'รถไฟฟ้า BTS', 'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",18 ต.ค.,9
คอนโดแถวอุดมสุขมีที่ไหนดีๆมั้ง?,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'กรุงเทพมหานคร', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",17 ต.ค.,2
สอบถามคนที่อยู่คอนโดลุมพินี เพลส พระราม 9 ใช้เน็ตอะไรกันบ้างคะ ?,"'คอนโดมิเนียม', 'อินเทอร์เน็ต', 'เครือข่ายอินเทอร์เน็ต', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",16 ต.ค.,4
Parkland เพชรเกษม เดอะมอลล์บางแคดีไหมครับ น่าลงทุนและอยู่อาศัยเองไหม,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",13 ต.ค.,1
หาคอนโดให้เช่าใกล้ศูนย์ราชการ แจ้งวัฒนะ,"'คอนโดมิเนียม', 'ถนนแจ้งวัฒนะ', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",13 ต.ค.,2
คอนโดเสนาคิทท์mrtบางแคเฟส2 ห้องติดลิฟโอเคไหมคะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",12 ต.ค.,4
คอนโดทำเลบางนา หรือ ฝั่งธน อันไหนน่าอยู่ครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",11 ต.ค.,6
เด็กมหาลัยที่ทางบ้านมีกำลังซื้อ ควรเช่าหอ หรือ ซื้อคอนโดใกล้ ม. ดีกว่ากัน,"'คอนโดมิเนียม', 'หอพัก', 'อสังหาริมทรัพย์', 'นักศึกษา', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",10 ต.ค.,6
[Facts]ส่องผลตอบแทนค่าเช่าและCapital Gain คอนโดขายเด็กจุฬา ย่านสามย่านที่แท้ทรู เก่า+NEW+Culture Chula (No sentiments),"'การลงทุน', 'อสังหาริมทรัพย์', 'คอนโดมิเนียม', 'หุ้น', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",7 ต.ค.,10
The kith plus สุขุมวิท 113 มือสอง,"'คอนโดมิเนียม', 'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์', 'ถนนสุขุมวิท'",5 ต.ค.,0
คอนโดของออริจิ้นฯ (ตามภาพ) เลือกฝั่งไหน ชั้นไหนดีค่ะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ฮวงจุ้ย'",5 ต.ค.,7
"คอนโด Life valley, Knightsbridge space ratchayothin, Mazarine ratchayothin อันไหนดีสุด","'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",5 ต.ค.,3
ซื้อคอนโดมา ของ Rye condo สุขุมวิท 101\1ผ่อนดาวน์ หากกู้ไม่ผ่านทำไงดีคะ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'สินเชื่อเพื่อที่อยู่อาศัย', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ถนนสุขุมวิท'",4 ต.ค.,1
จะขายคอนโดควรขายตามสภาพหรือ renovate ดีคะ,"'คอนโดมิเนียม', 'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",3 ต.ค.,7
คอนโดทิศเหนือกับทิศตกเฉียงเหนือ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",2 ต.ค.,1
Ideo Sukhumvit Rama 4 vs. Ideo Mobi Sukhumvit East Point,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'บริษัทพัฒนาอสังหาริมทรัพย์'",1 ต.ค.,1
สอบถามผู้ที่อยู่อาศัย คอนโด ศุภาลัย พาร์ค ตลาดพลู มีปัญหาอะไรมั้ยคะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",30 ก.ย.,3
ขอความคิดเห็น ผู้ที่พักอาศัยคอนโด เดอะสเเควร์บางใหญ่ค่ะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ธุรกิจอสังหาริมทรัพย์', 'พื้นที่ส่วนกลาง', 'นิติบุคคลอาคารชุด'",30 ก.ย.,0
ศุภาลัย เวลลิงตัน 2  เทียนร่วมมิตร เป็นไงมั่ง มีใครเคยอยู่ที่นีไหม?,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'บ้าน'",29 ก.ย.,1
ทำไมขายห้อง คอนโด เดอะสเเควร์บางใหญ่ กันเยอะจัง,"'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ธุรกิจอสังหาริมทรัพย์', 'คอนโดมิเนียม'",29 ก.ย.,5
ถ้าซื้อคอนโดไว้ก่อนรถไฟฟ้าจะขึ้น  ราคาคอนโดจะขึ้นตามไหมครับ,"'คอนโดมิเนียม', 'ธุรกิจอสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'บริษัทพัฒนาอสังหาริมทรัพย์', 'อสังหาริมทรัพย์'",28 ก.ย.,9
อยากถามคมอยู่คอนโด สูงๆ,"'คอนโดมิเนียม', 'ตกแต่งคอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",28 ก.ย.,6
กะลังมองหาคอนโดแนวรถไฟฟ้าสายสีเขียว แบบให้เช่าหรือปล่อยต่อ มีเพื่อนๆ แนะนำได้บ้างมั๊ยครับ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'กรุงเทพมหานคร', 'ทาวน์โฮม / ทาวน์เฮ้าส์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",28 ก.ย.,5
สอบถามหน่อยค่ะพอมีคอนโดหรือหอพักที่ใกล้เทคนิคดุสิตไหมคะ,"'หอพัก', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",26 ก.ย.,0
